gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2812910791	555	99.64	1	555	1	555	0.0e+00	1230	KO:K06120	glycerol dehydratase large subunit [EC:4.2.1.30]	EC:4.2.1.30	Yes
2812910793	387	93.28	1	387	1	387	0.0e+00	826	KO:K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]	EC:1.1.1.202	Yes
2812910796	641	99.53	1	641	1	641	0.0e+00	1440	KO:K05880	transcriptional activator for dhaKLM operon		Yes
2812910797	365	100	1	365	1	365	0.0e+00	828	KO:K00005	glycerol dehydrogenase [EC:1.1.1.6]	EC:1.1.1.6	Yes
2812910800	365	100	1	365	1	365	0.0e+00	826	KO:K00005	glycerol dehydrogenase [EC:1.1.1.6]	EC:1.1.1.6	Yes
2812910801	356	99.72	1	356	1	356	0.0e+00	815	KO:K05878	dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]	EC:2.7.1.-	Yes
2812910802	210	100	1	210	1	210	0.0e+00	479	KO:K05879	dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-]	EC:2.7.1.-	Yes
2812910803	472	99.79	1	472	1	472	0.0e+00	1050	KO:K05881	PTS hybrid protein		Yes
2812910804	549	100	1	549	1	549	0.0e+00	1220	KO:K00863	dihydroxyacetone kinase [EC:2.7.1.29]	EC:2.7.1.29	Yes
2812910805	256	99.61	1	256	1	256	0.0e+00	597	KO:K07229	ferric-chelate reductase (NADPH) [EC:1.16.1.9]	EC:1.16.1.9	Yes
2812910808	326	98.46	1	325	1	325	0.0e+00	743	KO:K07481	transposase, IS5 family		Yes
2812910813	87	100	1	87	1	87	6.7e-58	196	KO:K07497	putative transposase		Yes
2812910815	276	100	1	276	1	276	0.0e+00	659	KO:K07497	putative transposase		Yes
2812910821	327	97.55	1	327	1	327	0.0e+00	723	KO:K03554	recombination associated protein RdgC		Yes
2812910823	273	96.34	1	273	1	273	0.0e+00	615	KO:K06223	DNA adenine methylase [EC:2.1.1.72]	EC:2.1.1.72	Yes
2812910824	422	95.72	49	422	1	374	0.0e+00	807	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	Yes
2812910853	276	100	1	276	1	276	0.0e+00	659	KO:K07497	putative transposase		Yes
2812910855	87	100	1	87	1	87	6.7e-58	196	KO:K07497	putative transposase		Yes
2812910859	83	67.5	1	80	3	82	3.6e-33	126	KO:K07724	Ner family transcriptional regulator		Yes
2812910862	296	98.99	1	296	1	296	0.0e+00	667	KO:K10748	DNA replication terminus site-binding protein		Yes
2812910863	421	95.72	1	421	1	421	0.0e+00	933	KO:K03502	DNA polymerase V		Yes
2812910864	138	89.13	1	138	1	138	1.5e-84	277	KO:K03503	DNA polymerase V [EC:3.4.21.-]	EC:3.4.21.-	Yes
2812910867	340	100	1	340	1	340	0.0e+00	782	KO:K07486	transposase		Yes
2812910869	234	99.15	1	234	1	234	0.0e+00	559	KO:K18320	transposase, IS6 family		Yes
2812910870	115	66.96	1	115	1	115	2.1e-56	195	KO:K07484	transposase		Yes
2812910871	134	100	1	134	1	134	5.3e-95	306	KO:K07483	transposase		Yes
2812910880	847	97.99	1	847	1	847	0.0e+00	1910	KO:K00656	formate C-acetyltransferase [EC:2.3.1.54]	EC:2.3.1.54	Yes
2812910881	306	97.39	1	306	1	306	0.0e+00	706	KO:K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	Yes
2812910882	275	98.91	1	275	1	275	0.0e+00	628	KO:K02440	glycerol uptake facilitator protein		Yes
2812910885	211	99.05	1	211	1	211	0.0e+00	466	KO:K13923	phosphate propanoyltransferase [EC:2.3.1.222]	EC:2.3.1.222	Yes
2812910887	92	98.91	1	92	1	92	1.5e-57	195	KO:K04028	ethanolamine utilization protein EutN		Yes
2812910889	464	97.2	1	464	1	464	0.0e+00	1010	KO:K13922	propionaldehyde dehydrogenase [EC:1.2.1.87]	EC:1.2.1.87	Yes
2812910890	370	94.59	1	370	1	370	0.0e+00	784	KO:K13921	1-propanol dehydrogenase		Yes
2812910892	121	98.35	1	121	1	121	6.2e-82	268	KO:K07483	transposase		Yes
2812910893	301	99.34	1	301	1	301	0.0e+00	705	KO:K07497	putative transposase		Yes
2812910900	340	100	1	340	1	340	0.0e+00	782	KO:K07486	transposase		Yes
2812910904	123	87.7	1	122	1	122	5.7e-74	245	KO:K02019	molybdate transport system regulatory protein		Yes
2812910908	207	69.9	1	196	1	196	4.1e-104	340	KO:K11261	formylmethanofuran dehydrogenase subunit E [EC:1.2.99.5]	EC:1.2.99.5	Yes
2812910909	246	81.3	1	246	1	246	0.0e+00	432	KO:K07090	uncharacterized protein		Yes
2812910913	109	94.39	1	107	1	107	2.2e-66	222	KO:K07483	transposase		Yes
2812910915	234	100	1	234	1	234	0.0e+00	563	KO:K18320	transposase, IS6 family		Yes
2812910921	469	88.89	1	467	1	468	0.0e+00	985	KO:K00425	cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]	EC:1.10.3.-	Yes
2812910922	336	85.42	1	336	1	336	0.0e+00	700	KO:K00426	cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]	EC:1.10.3.-	Yes
2812910924	383	74.67	1	383	1	383	0.0e+00	643	KO:K00001	alcohol dehydrogenase [EC:1.1.1.1]	EC:1.1.1.1	Yes
2812910924	383	79.63	1	383	1	383	0.0e+00	696	KO:K13954	alcohol dehydrogenase [EC:1.1.1.1]	EC:1.1.1.1	Yes
2812910925	127	100	1	127	1	127	4.7e-92	297	KO:K07483	transposase		Yes
2812910926	115	100	1	115	1	115	2.1e-82	268	KO:K07484	transposase		Yes
2812910927	511	100	1	511	1	511	0.0e+00	1180	KO:K07484	transposase		Yes
2812910930	883	88.55	1	882	1	882	0.0e+00	1790	KO:K03701	excinuclease ABC subunit A		Yes
2812910931	436	71.1	1	429	1	427	0.0e+00	713	KO:K03885	NADH dehydrogenase [EC:1.6.99.3]	EC:1.6.99.3	Yes
2812910932	276	78.62	1	276	1	276	0.0e+00	535	KO:K01070	S-formylglutathione hydrolase [EC:3.1.2.12]	EC:3.1.2.12	Yes
2812910935	369	92.95	1	369	1	369	0.0e+00	820	KO:K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	EC:1.1.1.1	Yes
2812910935	369	92.95	1	369	1	369	0.0e+00	820	KO:K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	EC:1.1.1.284	Yes
2812910937	658	74.01	1	658	1	658	0.0e+00	1130	KO:K03702	excinuclease ABC subunit B		Yes
2812910947	275	61.09	1	275	9	283	2.8e-123	401	KO:K03496	chromosome partitioning protein		Yes
2812910955	234	100	1	234	1	234	0.0e+00	563	KO:K18320	transposase, IS6 family		Yes
2812910958	688	94.34	1	687	1	689	0.0e+00	1500	KO:K06915	uncharacterized protein		Yes
2812910994	472	97.03	1	472	1	472	0.0e+00	1020	KO:K02314	replicative DNA helicase [EC:3.6.4.12]	EC:3.6.4.12	Yes
2812911001	301	99.34	1	301	1	301	0.0e+00	705	KO:K07497	putative transposase		Yes
2812911002	121	98.35	1	121	1	121	6.2e-82	268	KO:K07483	transposase		Yes
2812911023	465	98.28	1	465	1	465	0.0e+00	1040	KO:K02313	chromosomal replication initiator protein		Yes
2812911024	366	98.63	1	366	1	366	0.0e+00	813	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	Yes
2812911025	357	97.48	1	357	1	357	0.0e+00	802	KO:K03629	DNA replication and repair protein RecF		Yes
2812911026	804	96.89	1	804	1	804	0.0e+00	1780	KO:K02470	DNA gyrase subunit B [EC:5.99.1.3]	EC:5.99.1.3	Yes
2812911027	270	95.56	1	270	1	270	0.0e+00	584	KO:K07024	uncharacterized protein		Yes
2812911030	137	97.81	1	137	1	137	2.4e-96	310	KO:K04080	molecular chaperone IbpA		Yes
2812911031	142	94.37	1	142	1	142	2.2e-98	317	KO:K04081	molecular chaperone IbpB		Yes
2812911033	553	93.49	1	553	1	553	0.0e+00	1160	KO:K07085	putative transport protein		Yes
2812911034	255	90.32	1	248	1	248	0.0e+00	512	KO:K03482	GntR family transcriptional regulator, glv operon transcriptional regulator		Yes
2812911035	539	93.69	2	539	1	539	0.0e+00	1150	KO:K02750	PTS system, arbutin-like IIC component		Yes
2812911036	440	95.68	1	440	1	440	0.0e+00	989	KO:K01232	maltose-6'-phosphate glucosidase [EC:3.2.1.122]	EC:3.2.1.122	Yes
2812911037	115	93.04	1	115	1	115	2.3e-72	240	KO:K00389	putative membrane protein		Yes
2812911039	373	74.32	1	370	1	370	0.0e+00	675	KO:K06871	uncharacterized protein		Yes
2812911040	438	88.13	1	438	1	438	0.0e+00	885	KO:K01753	D-serine dehydratase [EC:4.3.1.18]	EC:4.3.1.18	Yes
2812911042	394	92.13	1	394	1	394	0.0e+00	832	KO:K08154	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD		Yes
2812911044	29	93.1	1	29	1	29	3.2e-11	58	KO:K19148	small toxic protein TisB		Yes
2812911046	562	94.84	1	562	1	562	0.0e+00	1240	KO:K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	EC:2.2.1.6	Yes
2812911047	94	97.87	1	94	1	94	1.8e-64	215	KO:K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]	EC:2.2.1.6	Yes
2812911049	392	96.34	10	392	2	384	0.0e+00	823	KO:K03445	MFS transporter, DHA1 family, purine ribonucleoside efflux pump		Yes
2812911051	459	92.81	1	459	1	459	0.0e+00	1030	KO:K02024	maltoporin		Yes
2812911052	103	88.35	1	103	3	105	7.2e-61	206	KO:K02759	PTS system, cellobiose-specific IIA component [EC:2.7.1.69]	EC:2.7.1.69	Yes
2812911053	462	93.94	1	462	1	462	0.0e+00	1070	KO:K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	EC:3.2.1.86	Yes
2812911054	442	98.19	1	442	1	442	0.0e+00	988	KO:K02761	PTS system, cellobiose-specific IIC component		Yes
2812911055	104	97.12	1	104	1	104	5.1e-70	232	KO:K02760	PTS system, cellobiose-specific IIB component [EC:2.7.1.69]	EC:2.7.1.69	Yes
2812911057	397	81.11	1	397	1	397	0.0e+00	755	KO:K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	EC:1.3.1.44	Yes
2812911057	397	81.11	1	397	1	397	0.0e+00	755	KO:K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	EC:1.3.1.9	Yes
2812911058	140	75.76	8	139	8	139	4.9e-66	225	KO:K17865	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	EC:4.2.1.55	Yes
2812911059	395	82.03	1	395	1	395	0.0e+00	736	KO:K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	EC:2.3.1.9	Yes
2812911060	246	84.71	4	245	3	244	0.0e+00	471	KO:K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	EC:1.1.1.36	Yes
2812911061	296	51.33	1	296	1	300	2.2e-100	337	KO:K00634	phosphate butyryltransferase [EC:2.3.1.19]	EC:2.3.1.19	Yes
2812911062	356	77.25	1	356	3	358	0.0e+00	652	KO:K00929	butyrate kinase [EC:2.7.2.7]	EC:2.7.2.7	Yes
2812911064	567	97.71	1	567	1	567	0.0e+00	1280	KO:K02035	peptide/nickel transport system substrate-binding protein		Yes
2812911065	319	99.06	1	319	1	319	0.0e+00	720	KO:K02033	peptide/nickel transport system permease protein		Yes
2812911066	315	97.78	1	315	1	315	0.0e+00	702	KO:K02034	peptide/nickel transport system permease protein		Yes
2812911067	326	92.33	1	326	1	326	0.0e+00	687	KO:K02031	peptide/nickel transport system ATP-binding protein		Yes
2812911068	325	90.68	1	322	1	322	0.0e+00	679	KO:K02032	peptide/nickel transport system ATP-binding protein		Yes
2812911070	301	67.33	1	300	1	300	0.0e+00	483	KO:K18991	AraC family transcriptional regulator, activator of mtrCDE		Yes
2812911071	217	89.86	1	217	1	217	0.0e+00	446	KO:K10679	nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]	EC:1.-	Yes
2812911071	217	89.86	1	217	1	217	0.0e+00	446	KO:K10679	nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]	EC:1.5.1.34	Yes
2812911074	256	82.79	7	250	1	244	0.0e+00	482	KO:K15496	molybdate/tungstate transport system permease protein		Yes
2812911075	308	81.88	10	307	11	307	0.0e+00	569	KO:K15495	molybdate/tungstate transport system substrate-binding protein		Yes
2812911080	228	57.49	1	207	1	207	5.2e-83	282	KO:K02557	chemotaxis protein MotB		Yes
2812911084	388	87.34	1	387	1	387	0.0e+00	773	KO:K07552	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein		Yes
2812911087	295	86.35	1	293	1	293	0.0e+00	563	KO:K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	EC:4.3.3.7	Yes
2812911088	350	90.2	4	350	6	352	0.0e+00	695	KO:K07120	uncharacterized protein		Yes
2812911093	102	81.37	1	102	1	102	7.5e-59	200	KO:K19048	toxic protein SymE		Yes
2812911097	463	95.46	1	463	1	463	0.0e+00	1020	KO:K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family		Yes
2812911098	772	91.71	1	772	1	772	0.0e+00	1730	KO:K01811	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	EC:3.2.1.177	Yes
2812911099	302	86.09	1	302	1	302	0.0e+00	634	KO:K12979	beta-hydroxylase [EC:1.14.11.-]	EC:1.14.11.-	Yes
2812911101	461	96.53	1	461	1	461	0.0e+00	988	KO:K16345	xanthine permease XanP		Yes
2812911102	693	96.97	1	693	1	693	0.0e+00	1520	KO:K03655	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	EC:3.6.4.12	Yes
2812911103	229	95.63	1	229	1	229	0.0e+00	506	KO:K00556	tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	EC:2.1.1.34	Yes
2812911104	706	98.02	1	706	1	705	0.0e+00	1570	KO:K01139	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]	EC:3.1.7.2	Yes
2812911105	91	85.56	1	90	1	90	8.5e-48	168	KO:K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	EC:2.7.7.6	Yes
2812911106	236	88.98	1	236	33	268	0.0e+00	471	KO:K00942	guanylate kinase [EC:2.7.4.8]	EC:2.7.4.8	Yes
2812911107	563	72.94	1	558	1	558	0.0e+00	994	KO:K01972	DNA ligase (NAD+) [EC:6.5.1.2]	EC:6.5.1.2	Yes
2812911111	238	98.32	1	238	1	238	0.0e+00	521	KO:K00989	ribonuclease PH [EC:2.7.7.56]	EC:2.7.7.56	Yes
2812911112	213	98.12	1	213	1	213	0.0e+00	472	KO:K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]	EC:2.4.2.10	Yes
2812911113	198	96.46	1	198	1	198	0.0e+00	421	KO:K05501	TetR/AcrR family transcriptional regulator		Yes
2812911114	152	98.68	1	152	1	152	1.0e-107	344	KO:K01520	dUTP pyrophosphatase [EC:3.6.1.23]	EC:3.6.1.23	Yes
2812911115	404	95.3	1	404	1	404	0.0e+00	858	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	Yes
2812911115	404	95.3	1	404	1	404	0.0e+00	858	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	Yes
2812911116	222	90.09	1	222	1	222	0.0e+00	461	KO:K03630	DNA repair protein RadC		Yes
2812911117	78	90.91	1	77	1	77	1.9e-46	163	KO:K02902	large subunit ribosomal protein L28		Yes
2812911118	55	85.45	1	55	1	55	5.6e-31	117	KO:K02913	large subunit ribosomal protein L33		Yes
2812911119	269	96.65	1	269	1	269	0.0e+00	614	KO:K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	EC:3.2.2.23	Yes
2812911119	269	96.65	1	269	1	269	0.0e+00	614	KO:K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	EC:4.2.99.18	Yes
2812911120	160	93.67	1	158	1	158	5.0e-104	334	KO:K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	EC:2.7.7.3	Yes
2812911121	256	92.19	1	256	1	256	0.0e+00	556	KO:K12984	(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2812911122	439	95.52	16	439	1	424	0.0e+00	928	KO:K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	EC:2.4.99.12	Yes
2812911122	439	95.52	16	439	1	424	0.0e+00	928	KO:K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	EC:2.4.99.13	Yes
2812911122	439	95.52	16	439	1	424	0.0e+00	928	KO:K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	EC:2.4.99.14	Yes
2812911122	439	95.52	16	439	1	424	0.0e+00	928	KO:K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	EC:2.4.99.15	Yes
2812911125	375	85.07	1	375	1	375	0.0e+00	760	KO:K02844	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2812911126	354	85.03	1	354	2	355	0.0e+00	714	KO:K02849	heptosyltransferase III [EC:2.4.-.-]	EC:2.4.-	Yes
2812911128	402	75.19	1	399	1	399	0.0e+00	709	KO:K02847	O-antigen ligase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2812911131	326	85.89	1	325	1	326	0.0e+00	646	KO:K02841	heptosyltransferase I [EC:2.4.-.-]	EC:2.4.-	Yes
2812911132	348	95.11	1	348	1	348	0.0e+00	777	KO:K02843	heptosyltransferase II [EC:2.4.-.-]	EC:2.4.-	Yes
2812911133	310	97.42	1	310	1	310	0.0e+00	715	KO:K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	EC:5.1.3.20	Yes
2812911134	398	96.23	1	398	1	398	0.0e+00	866	KO:K00639	glycine C-acetyltransferase [EC:2.3.1.29]	EC:2.3.1.29	Yes
2812911135	341	97.36	1	341	1	341	0.0e+00	785	KO:K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	EC:1.1.1.103	Yes
2812911139	312	88.96	1	308	1	308	0.0e+00	633	KO:K09798	uncharacterized protein		Yes
2812911141	514	95.53	1	514	1	515	0.0e+00	1120	KO:K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	EC:5.4.2.12	Yes
2812911143	83	98.8	1	83	1	83	3.9e-57	193	KO:K03676	glutaredoxin 3		Yes
2812911144	155	99.35	1	155	1	155	7.1e-114	362	KO:K03071	preprotein translocase subunit SecB		Yes
2812911145	339	96.42	1	335	1	335	0.0e+00	731	KO:K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	EC:1.1.1.94	Yes
2812911146	273	98.53	1	273	1	273	0.0e+00	619	KO:K00640	serine O-acetyltransferase [EC:2.3.1.30]	EC:2.3.1.30	Yes
2812911148	157	96.18	1	157	1	157	4.3e-112	357	KO:K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	EC:2.1.1.207	Yes
2812911149	395	96.46	1	395	1	395	0.0e+00	873	KO:K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	EC:1.1.2.3	Yes
2812911150	258	92.64	1	258	1	258	0.0e+00	540	KO:K14348	GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator		Yes
2812911151	551	95.83	1	551	1	551	0.0e+00	1210	KO:K00427	L-lactate permease		Yes
2812911152	120	91.67	1	120	1	120	2.6e-73	243	KO:K14762	ribosome-associated protein		Yes
2812911153	196	94.87	2	196	1	195	4.1e-129	409	KO:K02562	mannitol operon repressor		Yes
2812911154	382	95.55	1	382	1	382	0.0e+00	820	KO:K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	EC:1.1.1.17	Yes
2812911155	636	94.18	1	636	1	636	0.0e+00	1340	KO:K02800	PTS system, mannitol-specific IIC component		Yes
2812911157	458	89.74	1	458	1	458	0.0e+00	923	KO:K01042	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]	EC:2.9.1.1	Yes
2812911158	614	92.67	1	614	1	614	0.0e+00	1310	KO:K03833	selenocysteine-specific elongation factor		Yes
2812911160	418	96.88	1	416	15	430	0.0e+00	949	KO:K00835	valine--pyruvate aminotransferase [EC:2.6.1.66]	EC:2.6.1.66	Yes
2812911161	678	88.46	1	676	1	676	0.0e+00	1470	KO:K01176	alpha-amylase [EC:3.2.1.1]	EC:3.2.1.1	Yes
2812911162	275	85.45	1	275	1	275	0.0e+00	550	KO:K03796	Bax protein		Yes
2812911163	392	95.92	1	392	1	392	0.0e+00	874	KO:K02529	LacI family transcriptional regulator		Yes
2812911164	393	96.18	1	393	1	393	0.0e+00	840	KO:K10544	D-xylose transport system permease protein		Yes
2812911165	513	95.13	1	513	1	513	0.0e+00	1100	KO:K10545	D-xylose transport system ATP-binding protein [EC:3.6.3.17]	EC:3.6.3.17	Yes
2812911166	330	97.88	1	330	1	330	0.0e+00	721	KO:K10543	D-xylose transport system substrate-binding protein		Yes
2812911167	440	97.95	1	440	1	440	0.0e+00	1030	KO:K01805	xylose isomerase [EC:5.3.1.5]	EC:5.3.1.5	Yes
2812911168	484	91.74	1	484	1	484	0.0e+00	1040	KO:K00854	xylulokinase [EC:2.7.1.17]	EC:2.7.1.17	Yes
2812911173	303	99.67	1	303	1	303	0.0e+00	717	KO:K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	EC:6.1.1.14	Yes
2812911174	689	97.24	1	689	1	689	0.0e+00	1510	KO:K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	EC:6.1.1.14	Yes
2812911176	212	89.62	1	212	1	212	0.0e+00	427	KO:K03410	chemotaxis protein CheC		Yes
2812911178	97	89.69	1	97	1	97	5.6e-58	197	KO:K07726	putative transcriptional regulator		Yes
2812911180	324	93.19	1	323	1	323	0.0e+00	687	KO:K00090	gluconate 2-dehydrogenase [EC:1.1.1.215]	EC:1.1.1.215	Yes
2812911182	313	87.54	1	313	1	313	0.0e+00	619	KO:K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	EC:2.7.1.45	Yes
